Time,Latitude,Longitude
2018-09-04 14:07:53,36.9111046,-121.7582995
2018-09-04 14:13:08,36.9111605,-121.7583402
2018-09-04 14:40:40,36.910708,-121.7581661
2018-09-04 15:04:45,36.9107452,-121.7585765
2018-09-04 15:06:52,36.9105599,-121.759828
2018-09-04 15:09:13,36.9061455,-121.7662568
2018-09-04 15:12:59,36.8837742,-121.7965218
2018-09-04 15:15:58,36.9022722,-121.8243811
2018-09-04 15:20:24,36.9379648,-121.8584634
2018-09-04 15:23:01,36.9507949,-121.8674492
2018-09-04 15:25:55,36.9584183,-121.8839517
2018-09-04 15:28:00,36.9695851,-121.8951387
2018-09-04 15:30:43,36.9717844,-121.9012521
2018-09-04 15:35:23,36.9745614,-121.9096255
2018-09-04 15:39:25,36.9833186,-121.9369913
2018-09-04 15:43:22,36.9728463,-121.9507869
2018-09-04 15:48:19,36.9680297,-121.9624575
2018-09-04 15:50:25,36.9694623,-121.9644592
2018-09-04 15:54:19,36.9694074,-121.9644582
2018-09-04 15:56:20,36.9694111,-121.9645108
2018-09-04 16:06:53,36.9703228,-121.9649055
2018-09-04 16:29:10,36.9733876,-121.9667954
2018-09-04 16:40:12,36.9735786,-121.9666537
2018-09-04 16:43:37,36.9734619,-121.9666645
2018-09-04 16:57:05,36.973411,-121.9667728
2018-09-04 17:01:10,36.9734288,-121.966738
2018-09-04 17:06:08,36.9733906,-121.9665854
2018-09-04 17:15:30,36.9733614,-121.9666358
2018-09-04 17:34:51,36.9734428,-121.9667046
2018-09-04 17:45:30,36.9735693,-121.9667606
2018-09-04 17:48:58,36.973504,-121.9669743
2018-09-04 18:08:35,36.9734102,-121.9666933
2018-09-04 18:11:04,36.9765459,-121.9648948
2018-09-04 18:13:23,36.9818923,-121.9644508
2018-09-04 18:15:41,36.9871709,-121.9864509
2018-09-04 18:18:33,36.9861302,-122.0248462
2018-09-04 18:20:55,36.9842403,-122.0302914
2018-09-04 18:23:11,36.9710185,-122.0364003
2018-09-04 18:25:16,36.962908,-122.0435639
2018-09-04 18:53:30,36.9590752,-122.0456308
